time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,183,79,775,300
2026-07-26 00:00:00+00:00,462,128,1007,313
2026-07-27 00:00:00+00:00,605,153,795,293
2026-07-28 00:00:00+00:00,407,124,907,366
2026-07-29 00:00:00+00:00,557,119,932,314
2026-07-30 00:00:00+00:00,435,139,892,299
2026-07-31 00:00:00+00:00,372,106,785,270
2026-08-01 00:00:00+00:00,486,143,546,199
2026-08-02 00:00:00+00:00,326,95,714,216
2026-08-03 00:00:00+00:00,249,64,711,243
2026-08-04 00:00:00+00:00,187,85,782,229
2026-08-05 00:00:00+00:00,159,69,845,258
2026-08-06 00:00:00+00:00,268,82,726,192
2026-08-07 00:00:00+00:00,300,69,517,203
